PhysicalDataID,InvertDataID,ConditionCode,StartTime,StopTime,SetTime,DriftStartMeter,DriftEndMeter,FlowMeterSpeed,FieldComments,EnteredBy,QA/QC'dBy,InvertCode,SampleVolume
12,75,1,10:03,10:33,10,387745,426202,Regular,STTDD 016   End Meter reading was estimated from the 10mins reading (x3 for 30mins) NI,,,,
13,76,,,,,,,,,,,,0.00
14,77,,,,,,,,,,,,0.00
15,78,,,,,,,,,,,,
16,79,,,,,,,,,,,,
17,80,,,,,,,,,,,,
18,81,,,,,,,,,,,,
19,82,,,,,,,,,,,,
20,84,,,,,,,,,,,,
21,85,,,,,,,,,,,,
22,86,,,,,,,,,,,,
23,87,,9:50,10:00,,,,,,,,,
24,89,,,,,,,,,,,,
25,90,1,9:50,10:20,30,839307,903147,Regular,STTDD 004,,,,
26,91,1,9:47,10:17,30,949060,990601,Regular,STTDD 005  Therm Broken   End Meter reading was estimated from the 10mins reading (x3 for 30mins) NI,,,,
30,92,,9:55,10:25,30,304434,383892,Regular,STTDD 013  Sample clogged w/ debris had to hand dig it out Crowd @ 1022    (x3 for 30mins) NI,,,,
33,93,,,,,,,,,,,,
36,94,1,9:50,10:20,30,497927,523389,Regular,SHRD 002,,,,
38,95,1,7:48,8:18,30,247745,272723,Regular,SHRD 010   End Meter reading was estimated from the 10mins reading (x3 for 30mins) NI,,,,
41,96,1,7:53,8:23,30,814848,839314,Regular,SHRD 004,,,,
42,97,,8:05,8:35,30,,,Regular,SHRD 005  Therm Broken,,,,
46,98,1,7:58,8:28,30,284908,306151,Regular,SHRD 012   End Meter reading was estimated from the 10mins reading (x3 for 30mins) NI,,,,
47,99,1,7:59,8:29,30,298753,315811,Regular,SHRD 013   End Meter reading was estimated from the 10mins reading (x3 for 30mins) NI,,,,
49,100,1,7:53,8:23,30,361975,375706,Regular,SHRD 015   End Meter reading was estimated from the 10mins reading (x3 for 30mins) NI,,,,
51,101,,,,,,,,,,,,
52,102,,,,,,,,,,,,
54,103,1,8:07,8:37,30,382274,398588,Regular,SHRD 016   End Meter reading was estimated from the 10mins reading (x3 for 30mins) NI,,,,
74,105,,,,,,,Regular,,,,,
90,106,1,11:54,12:24,30,694000,706285,Regular,Used Larval Sample Flowmeter multiplied by 3,,,,0.00
93,107,,9:13,9:49,36,,,Regular,No meter values on datasheet,,nikemiyagi,1-203,
94,108,,10:30,11:00,30,294066,341697,Regular,Extapolated counts to 30 minutes ~341697,,nikemiyagi,1-204,156.71
95,109,,9:22,9:52,30,723906,780310,Regular,,,nikemiyagi,1-211,185.57
96,110,,9:43,10:13,30,895113,952047,Regular,,,,1-217,187.25
97,111,,10:03,10:33,30,240948,301198,Regular,,,,1-224,198.22
98,112,,9:46,10:14,30,801921,857495,Regular,,,nikemiyagi,1-304,548.52
99,113,,9:38,10:08,30,294538,348288,Regular,,,nikemiyagi,1-310,176.84
100,114,,7:37,8:07,30,872932,921913,Regular,,,nikemiyagi,1-318,161.15
101,115,,9:27,9:57,30,352222,358607,Regular,Flow meter may have been inside net,,nikemiyagi,1-325,21.01
102,116,,9:40,10:10,30,583096,633659,Regular,,,nikemiyagi,1-401,166.35
103,117,,11:52,12:22,30,0,51258,Regular,,,nikemiyagi,1-408,168.64
104,118,,11:05,11:35,30,103585,134544,Regular,,,nikemiyagi,1-514,101.86
105,119,,7:59,8:35,36,,,Regular,,,nikemiyagi,2-203,
106,120,1,11:21,11:51,30,327408,369774,Regular,,,nikemiyagi,2-204,139.38
107,121,,10:23,10:53,30,780309,824402,Regular,,,nikemiyagi,2-211,145.07
108,122,,10:45,11:15,30,8981,46793,Regular,,,nikemiyagi,2-217,124.40
109,123,,11:10,11:40,30,301201,339072,Regular,,,nikemiyagi,2-224,124.60
110,124,,10:44,11:14,30,857534,857542,Regular,,,nikemiyagi,2-304,0.03
111,125,,7:52,8:22,30,348291,348331,Regular,,,nikemiyagi,2-311,0.13
112,126,,9:39,10:09,30,921922,947862,Regular,,,nikemiyagi,2-319,85.34
113,127,,10:32,11:02,30,358630,358644,Regular,See original data sheet (only half sample kept),,nikemiyagi,2-325,0.05
114,128,,9:32,10:02,30,508085,534130,Regular,,,nikemiyagi,2-401,85.69
115,129,,9:56,9:26,30,9,15345,Regular,,,nikemiyagi,2-408,50.46
116,130,,,,,,,,,,nikemiyagi,2-513,
143,135,,11:00,11:30,30,367442,385676,Regular,use 6x's zoop meter difference,,,11-210,59.99
142,136,,13:21,13:51,30,370495,396199,Low,use 3x's zoop meter difference,,,21-209,255.89
144,138,,8:41,9:11,30,396434,407456,Regular,use 3x's zoop net meter,,,11-211,36.26
145,139,,12:05,12:15,10,402421,435976,Regular,use zoop meter diff.,,,21-212,331.19
