Optional; From FLIMS,Optional; From FLIMS,"YBFMP (SHR, STTD, LIS); NDFA (All others); Shared (SHR, STTD, LIS during NDFS season)",Our station codes,From FLIMS/WDL. See Station Name to Number Tab.,Use sample code from FLIMS/WDL to connect field data and lab data,"Sampling Date; one station code-date/time combination per ""Sampling""","Sampling Time; one station code-date/time combination per ""Sampling""","Optional; for duplicate/replicate FIELD samples; individual sample numbers can be different between field and lab data, and can have two different times. Leave blank if NA.",Optional; for duplicate/replicate FIELD samples; individual sample collection date/time can be different between field and lab data. Leave blank if NA.,Optional; E.g. for duplicates/replicates or if we were collecting at different depths; individual sample collection date/time can be different between field and lab data. Leave blank if NA.,Should all be FIELD,,TRUE/FALSE,,,YSI Number,,,,,,,,,,,,,,,,,,,,,,Data Type Collected? True/False,Data Type Collected? True/False,Data Type Collected? True/False,Data Type Collected? True/False,Data Type Collected? True/False,Data Type Collected? True/False,Data Type Collected? True/False,Data Type Collected? True/False,Comments pertaining to WQ collection,Anything important to note that was corrected from field sheet or during QAQC,,
Run Number ,Run Name,Measuring Program Name,Station Name,Station Number,Sampling Number (event),WDL SAM_COLLECTION_DATE,Collection Time,Sample Number,Sample Date,Sample Time,LabOrField,Recorder,Field Check,FieldChecker,Crew,YSI,WeatherCode,secchi,water.temp,DO.probe,sp.cond,EC,pH,Tide,FlowDirection,microcyst,VegRank,turb,SurfaceIrr,Depth1Irr,Depth2Irr,Depth3Irr,Depth4Irr,SubIrr1,SubIrr2,SubIrr3,SubIrr4,LightData,DriftData,LarvalData,150_ZoopsData,50_ZoopsData,PhytoData,ChlData,NutrData,FieldComments_WQ,DataCorrectionComments,EnteredBy,QAQCBy
,,,,,WDL_SAM Code,"mm/dd/yyyy 2 digits per month, day",hh:mm (PST) ,,"mm/dd/yyyy 2 digits per month, day",hh:mm (PST),,,Boolean,,,SCAL,SCAL,M,DEGC,MGL,MISM,MISM,SCAL,Tide,U/D/N,SCAL,SCAL,FNU,M,M,M,M,M,UMSM,UMSM,UMSM,UMSM,BOOLEAN,BOOLEAN,BOOLEAN,BOOLEAN,BOOLEAN,BOOLEAN,BOOLEAN,BOOLEAN,,,,
,,NDFA,STTD,,ES0720B0168,07/13/2020,9:27,,,,FIELD,mahardja,TRUE,,"miller, gilbert",3,CLR,,25.9,8.2,198,201,8.6,Flood,,1,1,17.5,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,forgot secchi disk,recorder name correction,acasby,ldixit
,,NDFA,STTD,,ES0720B0208,07/27/2020,11:55,,,,FIELD,jadams,TRUE,,"cstuart, ltwardochleb",3,CLR,0.60,22.7,8.4,180,172,8.75,High,,1,2,14.3,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,,cstuart,hhudson
,,NDFA,BL5,,ES0720B0209,07/27/2020,11:15,,,,FIELD,jadams,TRUE,,"cstuart, ltwardochleb",3,CLR,1.10,21.9,7.93,158,148,7.65,Ebb,,2,2,7.3,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,,mbedwell,hhudson
,,NDFA,LIB,,ES0720B0210,07/27/2020,10:40,,,,FIELD,jadams,TRUE,,"cstuart, ltwardochleb",3,CLR,1.50,22.3,8.01,152,144,7.54,High,,1,2,7.6,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,,mbedwell,hhudson
,,NDFA,RYI,,ES0720B0211,07/27/2020,9:56,,,,FIELD,jadams,TRUE,,"cstuart, ltwardochleb",3,CLR,1.60,22.4,7.9,151,143,7.5,High,,2,1,5.5,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,,mbedwell,hhudson
,,NDFA,RVB,,ES0720B0212,07/27/2020,9:00,,,,FIELD,jadams,TRUE,,"cstuart, ltwardochleb",3,CLR,1.70,22.3,7.92,151,143,7.25,Flood,,2,1,6.3,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Time inside bottles should have been changed to 9:00am,,mbedwell,hhudson
,,NDFA,SHR,,ES0720B0213,07/27/2020,8:55,,,,FIELD,jadams,TRUE,,"cstuart, ltwardochleb",3,CLR,1.12,22.0,8.39,136,128,7.54,Flood,,1,1,6.6,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,,mbedwell,hhudson
,,NDFA,LIS,,ES0720B0207,07/28/2020,10:29,,,,FIELD,nkwan,TRUE,,"hhudson, acasby",1,CLR,0.30,23.9,7.53,349,342,7.98,Flood,,1,1,23,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,,mbedwell,hhudson
,,NDFA,I80,,ES0720B0206,07/28/2020,8:59,,,,FIELD,nkwan,TRUE,,"hhudson, acasby",1,CLR,0.15,22.8,4.92,489,468,7.62,N/A,,2,2,65,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,,mbedwell,hhudson
,,NDFA,DWT,,ES0720B0205,07/28/2020,7:59,,,,FIELD,hhudson,TRUE,,"nkwan, acasby",1,CLR,0.14,22.5,4.87,456,435,7.45,N/A,,1,2,62.3,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,mbedwell,hhudson
,,NDFA,RD22,,ES0720B0204,07/28/2020,10:33,,,,FIELD,mbedwell,TRUE,,"nikemiyagi, ldixit",3,CLR,0.26,24.9,5.81,853,851,7.83,N/A,,1,2,33.9,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,,mbedwell,hhudson
,,NDFA,WWT,,ES0720B0203,07/28/2020,10:00,,,,FIELD,ldixit,TRUE,,"nikemiyagi, mbedwell",3,CLR,N/A,23.6,4.51,940,915,7.38,N/A,,1,2,14,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,no secchi. Too shallow,,mbedwell,hhudson
,,NDFA,RCS,,ES0720B0202,07/28/2020,8:43,,,,FIELD,ldixit,TRUE,,"nikemiyagi, mbedwell",3,CLR,0.28,25.7,3.88,576,583,7.58,N/A,,1,2,22,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,,mbedwell,hhudson
,,NDFA,RMB,,ES0720B0201,07/28/2020,7:40,,,,FIELD,ldixit,TRUE,,"nikemiyagi, mbedwell",3,CLR,0.26,25.9,3.56,578,588,7.35,N/A,,1,2,25.9,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,,mbedwell,hhudson
,,NDFA,SHR,,ES0820B0231,08/10/2020,10:57,,,,FIELD,nkwan,FALSE,,acasby,1,CLR,1.80,23.2,8.21,155,150,7.55,Flood,,1,1,5.3,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,forgot YSI-teturned to dock to get the measurements,,mbedwell,hhudson
,,NDFA,RVB,,ES0820B0230,08/10/2020,8:38,,,,FIELD,cstuart,TRUE,,"jadams, ltwardochleb",3,CLR,2.00,23.5,7.72,159,155,7.32,Flood,,2,1,5.4,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,,mbedwell,hhudson
,,NDFA,RYI,,ES0820B0229,08/10/2020,9:19,,,,FIELD,cstuart,TRUE,,"jadams, ltwardochleb",3,CLR,2.00,23.3,7.75,157,152,7.51,High,,1,1,4.7,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,,mbedwell,hhudson
,,NDFA,LIB,,ES0820B0228,08/10/2020,9:47,,,,FIELD,cstuart,TRUE,,"jadams, ltwardochleb",3,CLR,2.00,23.2,7.85,161,155,7.65,High,,2,1,5.1,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,changed ph from 7.85 to 7.65,mbedwell,hhudson
,,NDFA,BL5,,ES0820B0227,08/10/2020,10:22,,,,FIELD,cstuart,TRUE,,"jadams, ltwardochleb",3,CLR,1.25,23.1,7.76,169,163,7.84,High,,1,1,6.6,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,,mbedwell,hhudson
,,NDFA,STTD,,ES0820B0226,08/10/2020,11:01,,,,FIELD,cstuart,TRUE,,"jadams, ltwardochleb",3,CLR,0.75,24.5,8.48,192,190,8.63,High,,1,1,10.8,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,,mbedwell,hhudson
,,NDFA,LIS,,ES0820B0225,08/11/2020,10:24,,,,FIELD,mbedwell,TRUE,,ldixit,1,CLR,0.26,24.2,7.19,312,308,8,Ebb,,1,1,24.9,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,added ebb tide ,mbedwell,hhudson
,,NDFA,I80,,ES0820B0224,08/11/2020,9:02,,,,FIELD,ldixit,TRUE,,mbedwell,1,CLR,0.19,23.1,3.95,530,510,7.52,N/A,,1,1,57.7,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,,mbedwell,hhudson
,,NDFA,DWT,,ES0820B0223,08/11/2020,8:25,,,,FIELD,ldixit,TRUE,,mbedwell,1,CLR,0.18,23.0,4.19,488,470,7.42,N/A,,1,2,44.9,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,water temp. 23.1 to 23,mbedwell,hhudson
,,NDFA,RD22,,ES0820B0222,08/11/2020,10:12,,,,FIELD,acasby,TRUE,,"hhudson, nkwan",3,CLR,0.25,24.8,6.72,816,812,8.1,N/A,,1,1,31.2,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,,mbedwell,hhudson
,,NDFA,WWT,,ES0820B0221,08/11/2020,9:32,,,,FIELD,hhudson,TRUE,,"acasby, nkwan",3,CLR,0.52,24.5,3.2,945,936,7.25,N/A,,1,2,10.5,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,mbedwell,hhudson
,,NDFA,RCS,,ES0820B0220,08/11/2020,8:39,,,,FIELD,nkwan,TRUE,,"hhudson, acasby",3,CLR,0.38,25.5,4.18,533,539,7.58,N/A,,1,1,21.2,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,,mbedwell,hhudson
,,NDFA,RMB,,ES0820B0219,08/11/2020,7:34,,,,FIELD,acasby,TRUE,,"hhudson, nkwan",3,CLR,0.30,25.4,4.53,537,542,7.47,N/A,,1,1,23.9,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,,mbedwell,hhudson
,,YBFMP,STTD,,ES0220B0017,02/10/2020,10:24,,,,FIELD,acasby,TRUE,,"jrobinson, nikemiyagi",3,CLR,0.21,9.5,10.5,729,513,7.84,Ebb,,1,1,24.5,2063,0.04,0.15,0.34,1.32,1564,1031,516.1,20.41,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Difficult to hold light attenuation pole steady with gusty wind,,acasby,hhudson
,,YBFMP,STTD,,ES1220B0537,12/01/2020,9:55,,,,FIELD,nikemiyagi,TRUE,,"acasby,abrady",3,CLR,1.30,9.5,11.1,222,157,8.11,Ebb,,1,2,6.5,2055,0.09,0.17,0.51,2.48,1541.1,1017.7,565.5,81.29,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Sealion on screwtrap sampled from Anchored boat,,hhudson,abrady
,,YBFMP,SHR,,ES1220B0539,11/30/2020,10:13,,,,FIELD,nkwan,TRUE,,"mbedwell, abrady",3,CLR,3.00,9.9,10.76,147,105,7.46,Ebb,,1,1,4.7,2050,0.03,0.05,0.48,2.6,1587.4,1024.3,511.16,110,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,end of pole to handle for light attenuation,,hhudson,abrady
,,YBFMP,LIS,,ES1220B0538,12/01/2020,12:42,,,,FIELD,acasby,TRUE,,"nikemiyagi, abrady",3,CLR,0.62,10.2,5.06,302,217,7.54,Ebb,,1,1,13.3,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,corrected pH,hhudson,abrady
