WY,Index,WYType,WYClass
1997,11,W,W
1998,12.4,W,W
1999,10,W,W
2000,9.2,W,W
2001,5.9,D,D
2002,6.5,D,D
2003,8,AN,A
2004,7.7,BN,A
2005,7.4,BN,A
2006,13,W,W
2007,6.2,D,D
2008,5.4,C,D
2009,5.5,D,D
2010,6.9,BN,A
2011,10,W,W
2012,6.9,BN,A
2013,5.8,D,D
2014,4,C,D
2015,4,C,D
2016,7.1,BN,A
2017,14.9,W,W
2018,7.2,BN,A
2019,10.3,W,W
2020,6,D,D
2021,4,C,D
2022,4.5,C,D
