ChannelLocation,Description
Bottom,Middle channel at bottom of water column of the Toe Drain
Mid_East,Eastside and middle channel of the Toe Drain
Mid_West,Westside and middle channel of the Toe Drain
Near_East,Eastside and nearshore in the Toe Drain
Near_West,Westside and nearshore of the Toe Drain
