IEPFishCode,CommonName ,ScientificName,Family,,,,,,,,,,,,,
KELGRE,Kelp Greenling ,Hexagrammos decagrammus,Hexagrammidae,,,,,,,,,,,,,
KELPER,Kelp Perch ,Brachyistius frenatus,Embiotocidae,,,,,,,,,,,,,
KERBLA,Kern Brook Lamprey ,Lampetra hubbsi,Petromyzontidae,,,,,,,,,,,,,
KOKANE,Kokanee ,Oncorhynchus nerka,Salmonidae,,,,,,,,,,,,,
LARBAS,Largemouth Bass ,Micropterus salmoides,Centrarchidae,,,,,,,,,,,,,
LEOSHA,Leopard Shark ,Triakis semifasciata,Triakidae,,,,,,,,,,,,,
LINGCO,Lingcod ,Ophiodon elongatus,Hexagrammidae,,,,,,,,,,,,,
LONSME,Longfin Smelt ,Spirinchus thaleichthys,Osmeridae,,,,,,,,,,,,,
LONMUD,Longjaw Mudsucker ,Gillichthys mirabilis,Gobiidae,,,,,,,,,,,,,
MISSIL,Mississippi Silverside ,Menidia audens,Atherinopsidae,,,,,,,,,,,,,
MONPRI ,Monkeyface Prickleback ,Cebidichthys violaceus,Stichaeidae,,,,,,,,,,,,,
MUSBLE,Mussel Blenny ,Hypsoblennius jenkinsi,Blenniidae,,,,,,,,,,,,,
NIGSME,Night Smelt ,Spirinchus starksi,Osmeridae,,,,,,,,,,,,,
NOCATC ,No Catch ,,,,,,,,,,,,,,,
NORPIK,Northern Pike ,Esox lucius,Esocidae,,,,,,,,,,,,,
NORANC,Northern Anchovy ,Engraulis mordax,Engraulidae,,,,,,,,,,,,,
ONEFRI,Onespot Fringehead ,Neoclinus uninotatus,Chaenopsidae,,,,,,,,,,,,,
PACBON,Pacific Bonito ,Sarda chiliensis,Scombridae,,,,,,,,,,,,,
PACHAL,Pacific Halibut ,Hippoglossus stenolepis,Pleuronectidae,,,,,,,,,,,,,
PACSAU,Pacific Saury ,Cololabis saira,Scomberesocidae,,,,,,,,,,,,,
PACBAR,Pacific Barracuda ,Sphyraena argentea,Sphyraenidae,,,,,,,,,,,,,
PACCMA,Pacific Chub Mackerel ,Scomber japonicus,Scombridae,,,,,,,,,,,,,
PACERA,Pacific Electric Ray ,Torpedo californica,Torpedinidae,,,,,,,,,,,,,
PACHER,Pacific Herring ,Clupea pallasii,Clupeidae,,,,,,,,,,,,,
PACLAM,Pacific Lamprey ,Entosphenus tridentatus,Petromyzontidae,,,,,,,,,,,,,
PACPOM,Pacific Pompano ,Peprilus simillimus,Stromateidae,,,,,,,,,,,,,
PACSLA,Pacific Sand Lance ,Ammodytes hexapterus,Ammodytidae,,,,,,,,,,,,,
PACSAN,Pacific Sanddab ,Citharichthys sordidus,Paralichthyidae,,,,,,,,,,,,,
PACSAR,Pacific Sardine ,Sardinops sagax,Clupeidae,,,,,,,,,,,,,
PACSSC,Pacific Staghorn Sculpin ,Leptocottus armatus,Cottidae,,,,,,,,,,,,,
PACTOM,Pacific Tomcod ,Microgadus proximus,Gadidae,,,,,,,,,,,,,
PADSCU,Padded Sculpin ,Artedius fenestralis,Cottidae,,,,,,,,,,,,,
PENGUN,Penpoint Gunnel ,Apodichthys flavidus,Pholidae,,,,,,,,,,,,,
PILPER,Pile Perch ,Rhacochilus vacca,Embiotocidae,,,,,,,,,,,,,
PINSAL,Pink Salmon ,Oncorhynchus gorbuscha,Salmonidae,,,,,,,,,,,,,
PLAMID,Plainfin Midshipman ,Porichthys notatus,Batrachoididae,,,,,,,,,,,,,
PRISCU,Prickly Sculpin ,Cottus asper,Cottidae,,,,,,,,,,,,,
PUMPKI,Pumpkinseed ,Lepomis gibbosus,Centrarchidae,,,,,,,,,,,,,
PYGPOA ,Pygmy Poacher ,Odontopyxis trispinosa ,Agonidae,,,,,,,,,,,,,
QUEENF ,Queenfish ,Seriphus politus ,Sciaenidae,,,,,,,,,,,,,
RAISEA ,Rainbow Seaperch ,Hypsurus caryi ,Embiotocidae,,,,,,,,,,,,,
RAIKIL,Rainwater Killifish ,Lucania parva,Fundulidae,,,,,,,,,,,,,
REDILO ,Red Irish Lord ,Hemilepidotus hemilepidotus ,Cottidae,,,,,,,,,,,,,
REDSHI,Red Shiner ,Cyprinella lutrensis,Cyprinidae,,,,,,,,,,,,,
REDGUN ,Red Gunnel ,Pholis schultzi,Pholidae,,,,,,,,,,,,,
REDSUN,Redear Sunfish ,Lepomis microlophus,Centrarchidae,,,,,,,,,,,,,
